term,coefficient,std_error,p_value,rate_ratio,rate_ratio_low,rate_ratio_high
C(hour)[T.20],0.09055926083707583,0.027363596049055302,0.0009346960240144652,1.0947863836768394,1.0376178926047552,1.1551046241843874
C(hour)[T.21],0.07086053521606844,0.02601511609222548,0.006453135325386101,1.0734315095349793,1.020070604115494,1.1295837768618653
C(hour)[T.22],0.12598315152813833,0.023715049531024046,1.0820776892976581e-07,1.1342630575228234,1.0827482756604423,1.1882287994190224
C(hour)[T.23],0.08994173112567361,0.020669415949411934,1.3524610149534207e-05,1.09411052925885,1.0506724841776929,1.1393444372648358
airport[T.LGA],-0.3222558471366885,0.03468291764251605,1.521489072091044e-20,0.7245128020894801,0.6768990597004422,0.7754757417211513
C(day_of_week)[T.2],-0.05039522662922616,0.006989567917068691,5.592590190492561e-13,0.9508535475848239,0.9379163359714965,0.9639692094904736
C(day_of_week)[T.3],-0.05895365249521977,0.007324318462577409,8.345340070338685e-16,0.9427504622761154,0.929313578590007,0.9563816289764329
C(day_of_week)[T.4],-0.04653068131925968,0.007325085121272737,2.1220517570520169e-10,0.9545352737192154,0.9409290089857925,0.9683382912769514
C(day_of_week)[T.5],-0.058936345079300255,0.00724991105202591,4.3195185102947094e-16,0.9427667789916739,0.9294652022053577,0.9562587146473513
C(day_of_week)[T.6],-0.07289797941553375,0.008706047249741783,5.604673425629766e-17,0.9296956732836923,0.9139663554157517,0.9456956919702404
C(day_of_week)[T.7],0.03930414087066937,0.007412157184460639,1.1412808304754838e-07,1.04008676844548,1.0250860699432538,1.0553069811545153
C(month)[T.2],0.02284483273876914,0.010528356490567247,0.030019086355427996,1.0231077743986619,1.002212076239375,1.0444391390320573
C(month)[T.3],0.06993480824717804,0.010148769133601847,5.541535143579204e-12,1.072438264844976,1.0513169183477573,1.0939839470206851
C(month)[T.4],0.07004684186674162,0.01122230703494523,4.3270044677720683e-10,1.072558420716168,1.0492247144533087,1.0964110452245293
C(month)[T.5],0.08504332096805928,0.012130499646504816,2.371249169945711e-12,1.0887642319972866,1.0631837864613496,1.1149601489147003
C(month)[T.6],0.08886137576474698,0.013377630633147878,3.083340288780885e-11,1.0929291393584817,1.0646453100940272,1.1219643691037122
C(month)[T.7],0.0893825155151588,0.015458181587601292,7.3723795802689945e-09,1.0934988566156454,1.060865449016427,1.127136104327221
C(month)[T.8],0.08561429016823616,0.014538560091940446,3.890717958556352e-09,1.0893860603455352,1.0587820478065988,1.120874679480724
C(month)[T.9],0.09270738076466248,0.014207959578899945,6.798734135353534e-11,1.0971406438353515,1.0670099438211686,1.1281221879195469
C(month)[T.10],0.09605607761056903,0.012038133868724257,1.4714607960911902e-15,1.10082079366291,1.0751517009505065,1.1271027322835656
C(month)[T.11],0.11794657342926793,0.010902960635307239,2.833517178548705e-27,1.1251839950391544,1.1013945650592478,1.1494872617463545
C(month)[T.12],0.104327536071956,0.011056523726819721,3.87891436899587e-21,1.1099639486154258,1.086169349122561,1.1342798139362054
is_holiday[T.True],0.018958411342710854,0.011246168227377071,0.091840822131021,1.0191392631024927,0.9969210762902644,1.0418526223380586
is_holiday_adjacent[T.True],-0.004055630547246031,0.016552908299511847,0.8064485721999847,0.995952582415656,0.9641593138909886,1.02879423776698
is_precip[T.True],0.002440230621217534,0.008222876339865601,0.7666488322885635,1.0024432104072554,0.9864167849991882,1.0187300189670148
is_freezing[T.True],0.2840270473859306,0.09778849708106482,0.003678359062986978,1.328468861876875,1.0967651944145569,1.609122468477393
C(hour)[T.1]:airport[T.LGA],-0.8206362460957978,0.04924427379870479,2.3705950721171944e-62,0.44015152071182057,0.3996551418196813,0.4847513291154851
C(hour)[T.2]:airport[T.LGA],-1.3775565248579056,0.08553229794529459,2.3269445512319394e-58,0.2521940306463044,0.2132699065935195,0.2982222391781258
C(hour)[T.3]:airport[T.LGA],-2.378818817849769,0.16503887929103722,4.2443151560411035e-47,0.09265996118879871,0.06705185006546201,0.1280481955252151
C(hour)[T.4]:airport[T.LGA],-2.4639241379647627,0.1736047160459008,1.0163021857580056e-45,0.08510034937349487,0.06055621759453828,0.11959250017861203
C(hour)[T.5]:airport[T.LGA],-3.081927611773049,0.1400963951891514,2.968621420105241e-107,0.04587075037511987,0.03485664447455202,0.06036512612430982
C(hour)[T.6]:airport[T.LGA],-2.7476107143128075,0.0888393370017419,5.0433382384050135e-210,0.06408078574796057,0.05384032187796575,0.07626899243625354
